x,y,obstacle_type,is_charging_station,battery_level,path_length,navigation_success
15,6,static,1,17.74,73,1
28,4,static,1,86.7,91,1
19,11,dynamic,1,95.29,43,0
4,9,dynamic,0,18.87,12,0
16,6,none,0,66.1,44,1
1,0,none,1,56.58,43,0
7,1,static,0,49.29,37,0
29,14,none,1,16.69,18,0
0,11,none,0,21.48,63,0
4,6,static,0,72.32,49,1
23,6,dynamic,0,78.17,88,0
3,2,static,1,57.04,58,0
25,28,dynamic,1,36.53,64,1
26,2,static,0,19.1,45,1
0,22,none,1,51.81,10,1
29,21,static,1,13.27,30,0
16,21,none,1,70.25,49,1
12,13,none,0,86.67,27,1
22,29,none,0,64.57,50,0
13,7,none,0,99.8,14,1
16,21,none,0,40.27,33,1
3,20,static,1,90.01,21,1
10,4,none,0,68.74,33,0
5,12,static,0,81.98,27,0
9,18,static,1,28.23,5,1
0,6,dynamic,1,79.42,8,0
23,13,dynamic,0,69.75,77,1
26,28,none,0,91.17,64,0
13,10,static,0,38.06,61,0
25,24,none,0,68.23,49,1
0,5,dynamic,1,15.18,28,1
13,29,static,1,92.38,63,0
3,22,none,0,54.55,45,1
27,25,none,0,53.2,49,0
13,2,dynamic,1,18.61,95,0
20,28,dynamic,1,37.39,78,0
20,5,static,0,12.39,10,1
9,3,dynamic,0,72.65,6,1
20,3,dynamic,1,97.45,100,1
17,20,dynamic,1,16.28,66,1
6,16,dynamic,0,16.11,41,1
20,22,dynamic,1,26.73,46,0
24,20,dynamic,1,87.63,60,1
10,25,dynamic,1,78.71,34,0
9,4,dynamic,1,97.13,67,1
28,20,static,1,97.44,93,1
5,17,dynamic,1,91.48,64,1
29,3,static,0,64.42,22,0
16,15,none,1,66.05,28,0
22,15,none,1,42.41,85,0
28,11,dynamic,1,14.28,98,1
3,10,static,0,29.7,54,1
26,23,dynamic,0,80.03,80,1
5,11,static,0,72.0,70,1
11,17,dynamic,0,56.47,56,1
26,21,dynamic,1,93.46,41,0
1,0,none,0,51.07,32,0
28,12,dynamic,1,24.7,76,1
20,21,dynamic,0,42.92,32,1
15,9,dynamic,0,98.59,99,0
11,15,static,0,12.37,82,0
25,20,static,0,19.78,99,1
22,11,none,0,10.21,65,0
17,22,none,0,23.63,32,0
16,1,static,0,47.91,80,0
2,29,dynamic,1,65.42,71,1
21,19,dynamic,1,35.14,39,0
29,23,static,0,50.98,37,1
22,4,dynamic,0,65.73,69,1
0,1,none,0,55.3,90,1
6,17,none,0,14.69,27,1
13,23,dynamic,0,31.43,36,0
5,10,none,1,33.83,80,1
21,19,static,0,72.05,7,0
26,29,dynamic,0,26.73,69,0
1,9,none,0,22.84,19,0
18,21,dynamic,1,69.43,24,0
2,28,none,0,14.49,34,0
22,11,dynamic,1,16.97,52,0
8,20,none,1,48.91,12,1
